#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, total_files: 3841, total_files_alive: 2374, cacheTableSize: 0, cachesize: 240, blocksize: 120, prefetchsize: 24, cache replacement policy: LRU
Month,HitRate,NumCommits,NumFiles
3,100.0,74,57
6,100.0,302,77
9,100.0,308,80
12,100.0,318,80
15,97.07,425,976
18,63.85,564,1074
21,56.54,848,1278
24,57.88,1027,1284
27,59.36,1318,1297
30,60.85,1567,1314
33,61.05,1758,1317
36,61.13,1907,1327
39,61.41,2069,1333
42,61.59,2167,1336
45,62.22,2422,1428
48,66.03,2828,1477
51,66.73,3071,1598
54,68.3,3570,1634
57,70.53,3967,1685
60,72.23,4611,2237
63,72.83,5136,2272
66,73.2,5603,2309
69,73.52,6150,2338
72,73.9,6796,2376
75,73.8,7246,2399
78,74.21,7889,2424
81,76.29,8777,2599
84,76.7,9408,2658
87,77.06,9993,2781
90,77.46,10745,2832
93,77.89,11322,2936
96,78.35,12062,3091
99,78.73,12811,3176
102,78.83,13656,3305
105,78.89,14326,3354
108,79.05,14853,3374
111,79.0,15332,3479
114,79.06,15829,3527
117,79.24,16547,3583
120,79.45,17197,3608
123,79.55,17709,3647
126,79.8,18305,3748
129,79.76,18953,3782
132,79.79,19537,3810
135,79.78,19959,3830
138,79.76,20155,3835
